# Kepler-10 (KIC 11904151) long-cadence light curve
# source_uri: mast:Kepler/url/missions/kepler/lightcurves/0119/011904151/kplr011904151-2009166043257_llc.fits
# source_url: https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:Kepler/url/missions/kepler/lightcurves/0119/011904151/kplr011904151-2009166043257_llc.fits
# retrieved_utc: 2026-07-19T12:44:04Z
# fits_sha256: a47542bd31fa92111f280a29885f6fbe860f0956012b442f780ca6d2cc3a19c6
# fits_bytes: 192960
# time: BKJD (BJD - 2454833); flux: PDCSAP_FLUX (e-/s), SAP_QUALITY==0 rows only
time_bkjd,flux_e_per_s
131.512315,544142.062
131.532749,544175.250
131.553183,544114.312
131.573617,544097.562
131.594052,544053.062
131.614486,544143.438
131.634920,544165.188
131.655354,544154.062
131.675789,544167.000
131.696223,544178.625
131.716657,544115.500
131.737091,544181.125
131.757525,544131.188
131.777959,544188.750
131.798394,544141.562
131.818828,544189.938
131.839262,544155.500
131.859696,544188.688
131.880130,544174.000
131.900565,544113.875
131.920999,544152.188
131.941433,544163.438
131.961867,544145.500
131.982301,544162.688
132.002736,544201.500
132.023170,544183.688
132.043604,544172.188
132.064038,544136.062
132.084472,544138.750
132.104906,544168.062
132.125341,544146.188
132.145775,544165.750
132.166209,544134.500
132.186643,544164.625
132.207077,544182.750
132.227512,544180.688
132.247946,544125.375
132.268380,544148.375
132.288814,544181.250
132.309248,544157.750
132.329683,544120.375
132.350117,544169.000
132.370551,544113.312
132.390985,544083.875
132.411419,544047.812
132.431853,544054.812
132.452288,544167.812
132.472722,544148.938
132.493156,544131.938
132.513590,544132.188
132.534024,544109.375
132.554459,544184.312
132.574893,544154.812
132.595327,544130.438
132.615761,544145.938
132.636195,544108.875
132.656630,544151.312
132.677064,544137.188
132.697498,544159.750
132.717932,544189.062
132.738366,544146.875
132.758801,544191.625
132.779235,544154.500
132.799669,544220.938
132.820103,544164.938
132.840537,544150.562
132.860971,544179.188
132.881406,544180.188
132.901840,544147.062
132.922274,544228.500
132.942708,544161.500
132.963142,544165.562
132.983577,544154.438
133.004011,544131.938
133.024445,544163.500
133.065313,544165.625
133.085747,544175.938
133.106182,544140.688
133.126616,544090.562
133.147050,544186.250
133.167484,544181.062
133.187918,544135.875
133.208353,544097.062
133.228787,544003.812
133.249221,544038.500
133.269655,544026.750
133.290089,544132.562
133.330958,544074.000
133.351392,544146.812
133.371826,544169.062
133.392260,544097.938
133.412695,544095.000
133.433129,544176.188
133.453563,544152.938
133.473997,544146.000
133.494431,544101.062
133.514865,544159.062
133.535300,544112.812
133.555734,544109.812
133.576168,544115.875
133.596602,544115.938
133.617036,544145.000
133.637471,544077.875
133.657905,544121.438
133.678339,544153.125
133.698773,544141.438
133.719207,544135.688
133.739641,544137.062
133.760076,544152.062
133.780510,544098.625
133.800944,544152.688
133.821378,544145.125
133.841812,544108.750
133.862247,544139.938
133.882681,544104.625
133.903115,544169.438
133.923549,544100.562
133.964417,544098.500
133.984852,544145.562
134.005286,544129.312
134.025720,544142.375
134.046154,544055.812
134.066588,544060.562
134.107457,544072.812
134.127891,544119.500
134.148325,544100.438
134.168759,544080.375
134.209628,544102.000
134.230062,544124.312
134.270930,544167.062
134.291364,544143.812
134.311799,544139.875
134.332233,544167.688
134.352667,544169.812
134.373101,544169.562
134.413969,544112.562
134.434404,544234.750
134.454838,544157.875
134.475272,544171.375
134.495706,544167.438
134.516140,544168.750
134.536575,544226.000
134.557009,544242.812
134.577443,544203.688
134.597877,544153.438
134.618311,544193.688
134.638745,544205.562
134.659180,544231.750
134.679614,544210.062
134.700048,544194.125
134.720482,544190.688
134.740916,544212.125
134.761351,544228.875
134.781785,544216.250
134.802219,544199.938
134.822653,544179.750
134.843087,544220.375
134.863522,544187.750
134.883956,544189.062
134.904390,544114.312
134.924824,544101.250
134.945258,544124.688
